FrameNum,Sensor_1,Sensor_2,Sensor_3,Sensor_4,Sensor_5,Sensor_6,Coeff_0,Coeff_1,Coeff_2,Coeff_3,Coeff_4,Coeff_5,P1,P2,Time
33,229.7063343,224.0803427,206.0218435,249.0180716,231,283.5718604,7.41E-13,-1.71E-09,1.31E-06,-0.000444066,0.1241893,438.4259265,0,0,1.32
34,229.6301374,224.0803427,206.0218435,249.0180716,230.0021739,284.5698508,8.62E-13,-1.96E-09,1.50E-06,-0.000507774,0.13441955,437.8664337,0,0,1.36
35,229.7063343,224.0803427,207.0386437,249.008032,232,283.5101409,1.00E-13,-2.65E-10,8.65E-08,3.70E-05,0.035871989,444.5842797,0,0,1.4
36,228.6328935,224.0803427,206.0388313,250.0179994,230,284.5083479,5.09E-13,-1.23E-09,9.40E-07,-0.000313452,0.103046487,439.8942022,0,0,1.44
37,229.6301374,224.0803427,206.0218435,250.0179994,230.0021739,284.5698508,4.31E-13,-1.03E-09,7.41E-07,-0.0002239,0.084850417,441.3451889,0,0,1.48
38,228.560714,225.1088626,207.0386437,250.0179994,231,283.5101409,3.97E-14,-9.34E-11,-9.24E-08,0.00011932,0.020218671,445.3411228,0,0,1.52
39,229.6301374,225.1088626,205.0390207,250.0079999,230,284.5698508,7.19E-13,-1.66E-09,1.27E-06,-0.000433023,0.122904932,438.9200407,0,0,1.56
40,229.5582715,224.0803427,206.0388313,250.0179994,231,284.5083479,1.62E-13,-3.54E-10,1.01E-07,6.28E-05,0.024129771,445.8599944,0,0,1.6
41,228.560714,225.0555487,207.0386437,249.0180716,231.0021645,283.5101409,1.13E-12,-2.61E-09,2.10E-06,-0.000767045,0.187093349,433.5448864,0,0,1.64
42,228.6328935,225.1088626,206.0388313,250.0079999,230,284.5698508,1.31E-12,-3.07E-09,2.54E-06,-0.000960943,0.224215957,431.8905256,0,0,1.68
43,228.6328935,224.1093483,206.0606707,250.0079999,231,283.5101409,5.09E-13,-1.17E-09,8.38E-07,-0.000248419,0.08574613,441.0393664,0,0,1.72
44,228.6328935,224.1093483,206.0388313,250.0079999,231,284.5083479,4.38E-13,-1.08E-09,8.14E-07,-0.000263394,0.093479094,440.4883331,0,0,1.76
45,229.6301374,225.0799858,205.0390207,250.0179994,230.0021739,283.5101409,6.33E-13,-1.53E-09,1.23E-06,-0.000447869,0.133041065,437.6809203,0,0,1.8
46,228.6328935,224.1093483,206.0606707,250.0079999,231,284.5083479,3.89E-13,-8.83E-10,5.92E-07,-0.000165988,0.077712718,440.7916001,0,0,1.84
47,229.6301374,224.0803427,206.0388313,250.0079999,231,284.5083479,6.16E-13,-1.42E-09,1.05E-06,-0.000341369,0.106469398,439.7308105,0,0,1.88
48,229.6301374,224.0803427,206.0218435,249.0180716,230,284.5083479,2.45E-13,-5.65E-10,3.05E-07,-3.08E-05,0.044752626,444.3684725,0,0,1.92
49,228.6328935,224.1093483,206.0388313,250.0179994,231,284.5083479,8.41E-14,-1.82E-10,-4.23E-08,0.0001192,0.013969164,446.350272,0,0,1.96
